epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,8425.88,1.1854,0.57766,1.03069,0.92965,0.89543,0.95504,0.63837,1.21006,0.55996,1.03672,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,8547.45,1.18253,0.57431,1.03019,0.92873,0.89691,0.95542,0.6388,1.20988,0.55889,1.03644,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,8669.14,1.17295,0.5707,1.02962,0.9255,0.90035,0.9553,0.63838,1.20935,0.55855,1.03617,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8790.7,1.17288,0.56717,1.02542,0.9281,0.89729,0.95543,0.63887,1.20932,0.55778,1.03601,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8912.61,1.17043,0.56642,1.02513,0.92403,0.90125,0.9557,0.63876,1.20869,0.55749,1.03567,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,9034.37,1.17231,0.56529,1.02482,0.92437,0.9009,0.95571,0.6395,1.20876,0.55718,1.03526,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,9156.03,1.16316,0.5608,1.02286,0.92364,0.90105,0.95576,0.63981,1.20912,0.55667,1.03501,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,9277.71,1.1667,0.5629,1.02181,0.9229,0.90297,0.95593,0.6401,1.20869,0.55545,1.03476,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,9399.77,1.16116,0.55971,1.02064,0.92396,0.90223,0.95589,0.6402,1.20875,0.55471,1.03452,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,9521.91,1.15736,0.55848,1.01814,0.9235,0.90344,0.95597,0.6402,1.20888,0.55435,1.03439,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9643.68,1.15362,0.55473,1.0203,0.92345,0.90342,0.95642,0.64011,1.20884,0.5537,1.03432,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,9765.5,1.15741,0.55262,1.01854,0.92498,0.90268,0.95641,0.64036,1.20878,0.55356,1.03422,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9887.09,1.14756,0.5503,1.01814,0.92514,0.90302,0.95661,0.64063,1.20859,0.55332,1.03416,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,10008.8,1.14489,0.54672,1.01745,0.9266,0.90194,0.95675,0.64069,1.20856,0.55239,1.03391,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,10130.5,1.14406,0.54775,1.01274,0.92612,0.90288,0.95667,0.64087,1.20772,0.55182,1.03358,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,10252.2,1.14334,0.54709,1.01301,0.92675,0.902,0.95677,0.64084,1.20764,0.5515,1.03342,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,10373.9,1.13889,0.54444,1.01151,0.92808,0.90149,0.95674,0.64073,1.20755,0.55084,1.03335,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,10495.9,1.13779,0.5403,1.01274,0.92811,0.90209,0.95694,0.64087,1.2077,0.55081,1.03326,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,10617.2,1.12771,0.53741,1.01023,0.92887,0.90204,0.95689,0.64068,1.20786,0.55053,1.03337,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,10738.9,1.13056,0.53714,1.00952,0.92751,0.90268,0.95713,0.64081,1.20755,0.5502,1.03325,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,10860.3,1.12686,0.53509,1.00843,0.92818,0.90224,0.9571,0.64084,1.20756,0.54993,1.03331,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,10982.1,1.12595,0.53343,1.00806,0.92709,0.90273,0.95712,0.64084,1.20742,0.54973,1.03303,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,11103.7,1.09668,0.49925,1.00428,0.92706,0.90297,0.95705,0.64071,1.20761,0.55003,1.03291,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,11223.9,1.08517,0.49181,0.99958,0.92706,0.90312,0.95698,0.64065,1.20769,0.54935,1.03294,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,11343.8,1.07892,0.48906,0.99803,0.92842,0.90297,0.95676,0.64051,1.20702,0.55019,1.03252,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,11463.7,1.07532,0.48395,0.99701,0.92825,0.90312,0.95678,0.64065,1.20676,0.55028,1.03252,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,11583.8,1.07283,0.4833,0.99505,0.92737,0.90327,0.95655,0.64043,1.2072,0.55043,1.03256,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,11703.7,1.06665,0.47959,0.99372,0.9281,0.90302,0.95686,0.64054,1.20737,0.55032,1.03227,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,11823.7,1.0599,0.47622,0.99075,0.92891,0.90268,0.95681,0.64045,1.20758,0.54996,1.03268,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,11943.6,1.06029,0.47509,0.98877,0.9281,0.9031,0.95699,0.64084,1.20782,0.54969,1.03265,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,12063.7,1.05356,0.47176,0.98745,0.92762,0.90233,0.9568,0.64048,1.20783,0.54977,1.03257,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,12183.6,1.04807,0.46869,0.98601,0.92779,0.90263,0.95687,0.64095,1.20817,0.55018,1.0327,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
